Result Matrix: 
53360	59291	59266	60112	53605	65313	60222	61400	53659	62239	58385	54096	60305	54893	60885	70270	60506	62896	64628	61274	52595	60112	69994	70505	59252	64802	59196	64895	59031	69277	60213	63256	60767	62291	61509	57430	53746	66870	57561	53430	58559	64856	62625	58064	66253	69214	70619	71800	58244	56229	58405	62480	58819	61190	57283	59192	62718	59297	61206	62401	58213	63281	53965	60586	60412	63460	61762	67377	62034	55645	57888	68145	60165	56076	66923	63406	70495	62725	53268	62750	66180	57885	59065	63379	61682	61877	67297	58071	60201	61805	63826	66969	59998	55234	62794	58400	56619	64286	70251	62752	
59762	68474	59980	66249	58502	72636	60176	65066	53713	64720	61582	56546	66669	57312	68089	73003	65748	62928	68629	68060	58119	61485	68629	70113	64697	64523	63608	65781	64605	71698	64112	62106	66689	61479	67562	63639	62155	68228	57821	58733	61402	69041	68166	62504	65999	74831	73056	77447	54820	61230	69378	62340	58051	62160	62850	63218	60196	64522	60212	65059	59063	70057	62758	59369	58420	64261	68068	69270	64344	59870	59138	68457	66054	61047	62648	64388	71041	67883	55353	61129	59713	61481	65011	64626	64519	69846	65955	62058	63279	69959	64370	70871	64291	57848	68382	59303	55079	67485	69219	64219	
57634	59678	56781	56840	53659	62297	54046	54579	44860	61560	51078	54406	52626	49826	61350	61434	57008	54371	57691	60355	50960	56330	64832	59573	58905	58090	55392	58517	60045	62704	57588	52469	54218	57225	55930	58092	49372	60845	50664	49171	54629	60926	61142	54009	64900	66433	62977	65264	52539	56547	57011	50329	54281	55820	57835	52818	55326	61294	53455	60332	52220	63619	54514	51401	52825	56902	57194	63637	58291	58270	56624	61753	59182	56832	56563	60249	66336	59897	45700	54724	56790	53951	55119	55523	54401	58108	58450	52345	54066	60100	60056	63237	57257	49555	59724	49966	54226	63438	62621	58537	
59881	65844	61399	64257	59329	72619	60640	63740	56710	62055	63147	57112	66252	56012	67533	73959	64474	57979	68086	68995	59349	61292	73641	69241	63556	63108	60862	64993	63991	71684	61496	62471	65881	63358	66730	62321	60641	69509	61873	58427	61278	67077	64543	63293	66771	69456	72412	71127	55783	58791	63830	63426	61746	62843	62425	61356	61906	63720	58382	63881	57279	64233	62967	62359	65331	67000	66479	64390	65892	59012	60355	68278	62828	61265	63017	62088	68413	63974	57033	60509	63272	63095	61709	67093	64592	68197	69343	55865	62333	67794	65046	69651	61279	58996	67633	58656	60068	65747	67681	62395	
55861	55711	58775	59317	60814	65843	58678	59779	51856	60905	55967	49901	59120	52441	58995	69414	61511	59887	62422	65698	56069	55777	65757	65556	61771	61581	62557	57371	60306	62589	59645	60297	57760	60558	62655	56472	55133	63869	57584	53220	55577	62951	60465	58934	67096	67840	69470	64933	53028	52593	58435	56916	56375	59317	62424	56704	61425	62903	58378	58854	55281	61937	63103	59126	54933	60766	59472	62561	58031	56687	59897	68103	65726	59370	59955	61343	68106	59648	52282	58499	59528	58587	54144	60578	61925	64604	57926	53172	57936	63488	64083	60670	58363	55483	65056	55102	56706	60176	62376	66972	
55731	61031	56157	60238	55266	68071	56076	60513	52592	67061	58933	53468	62198	52955	64186	65183	59800	60233	66207	65072	58145	60840	66761	63352	60697	64236	62643	62549	61057	64210	61449	60403	56287	62808	62348	58469	55427	66295	55162	54842	59757	62835	61403	57382	64248	68494	67428	69276	55053	58980	62642	56015	55480	60047	61004	57603	58799	66340	58406	66313	56034	60886	57199	55799	56323	58862	60918	65639	58335	55684	58834	67428	58192	60493	59908	61453	67324	59867	49577	59599	63286	62123	61426	64585	59657	62239	63750	57311	57792	63193	63435	67775	59082	55121	65078	58603	60634	62636	65221	64759	
58398	63714	61323	65177	60692	71406	58760	59447	59321	62497	59163	57051	61530	56956	63875	71053	58798	58928	65472	70426	55717	60158	67161	64884	65228	64899	64289	65093	65736	70395	63182	62900	62880	60967	61105	61549	54633	63331	54925	57455	62752	68246	61049	59756	67497	70482	67557	72649	55384	59058	61650	59858	58126	63148	58647	58565	59908	65018	57746	63731	59198	67008	59906	56146	59052	63448	59889	68648	60158	60224	63687	65878	62099	57016	65338	63561	66889	64360	52858	59182	62220	60410	59265	63096	60713	64205	64839	57431	61424	64790	63569	63457	59735	55069	64715	60585	60981	66870	63248	67532	
56410	67196	59168	66454	58363	68581	61461	67391	57109	64606	57419	59721	65939	56732	68005	68033	62137	63508	67864	67132	58079	61996	72690	65890	62419	64858	64911	63700	62057	69773	60102	58242	62830	63530	63828	60236	56019	70276	57391	56780	61073	65305	64566	57671	68456	73520	67911	68702	59067	62962	65487	59850	60626	63491	59366	59853	61626	69056	60600	68164	57531	63575	61800	60995	61280	68063	65171	67879	61244	57657	56829	69362	61544	63405	63311	64088	73222	63404	53861	59707	57512	63385	63392	59849	62514	65881	64776	55863	63985	67041	61953	66531	58198	56917	65790	61803	57710	64156	67817	67463	
57003	64140	59169	65475	53613	64636	49624	63230	50498	61509	58792	55335	58196	53401	62063	65204	56228	59145	66237	65772	54395	62896	66687	63021	63393	61900	60911	62725	60042	63743	60157	59330	59206	62225	60343	63486	56681	63098	57303	54523	59258	66155	62620	58031	65981	70203	64944	68570	56615	58314	66195	57751	55262	61585	59081	57625	57704	61154	61140	64117	53983	62147	60763	56447	55984	60480	62499	66324	57458	57906	58312	63445	60952	58907	60211	56756	62262	63595	49369	56952	61326	56481	59593	64802	59103	66817	64875	55260	58944	58884	61721	63070	59448	49144	64540	57413	56369	61975	67342	58483	
65052	66037	66662	71064	65142	70635	63304	70473	56227	67574	62547	60093	65942	59143	63207	78196	65975	68476	68755	72602	59112	67517	77309	76375	67792	69330	70638	67598	64789	74550	63706	61813	60404	66981	68347	66638	59590	75883	61856	58524	62517	71863	66935	63323	69753	77028	74606	76878	65797	67378	67583	68596	62842	65882	64050	61760	69326	66092	66256	66058	61447	69081	66078	64388	64466	71801	70690	70842	68068	61144	66352	77643	69770	64994	67292	65416	76840	70942	56500	64832	68254	64748	67466	65220	66063	74070	70353	59567	61413	71272	69305	71040	64976	58516	73673	58530	63432	72303	74341	67034	
